"node_id","domain","split","label","model_hash","token_hash","raw_hash","representative_file","candidate_type","candidate_line","candidate_pos","duplicate_count","function_count","all_functions","all_provenance"
"TIFF00283","target_libtiff","U95_TEST","1","0b1a5736f7dc392775b29425b7b7787cad1beef8bc06826d991443fb2c4e14df","890e489c780407c9aaf49eb9f1cd60852d464ae3679e9c169da4ca0404bdfe91","4674c018d22179e7248f8b129a1d46e37f221b7fa02608995df4776ec9a1cf8c","cve-2013-1960.c","AU","69","15","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:69:AU:768"
"TIFF00430","target_libtiff","U95_TEST","1","1215e1b289cd6adbef5ef5709ae70bc3935498f0edcf9a476f7f5325e92d1e72","e02bd07b0fc13c9015343c8e2c9fa23913fadae92ef51e9cfb77b0d5a172a815","b453915f55be4bc0771b3f55218fd77e0ddfb0537697bec4f3d5a8513b9fb507","cve-2013-1960.c","AU","30","14","3","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:30:AU:744|cve-2013-1960.c:31:AU:745|cve-2013-1960.c:32:AU:746"
"TIFF00442","target_libtiff","U95_TEST","1","126b1340ddf420c0df7470b926a562165c029048f4b707f3ff5b6406c3c6161e","d65e34a63d20c18ec5f0169280ca26a897c6a5e692cd1f1c854f52638131022a","64bf05ef37a566c0f13fe0fd70568a26d35ec1322e1a650bf9aca5d8eaf1dad4","cve-2013-1960.c","AU","38","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:38:AU:749"
"TIFF00492","target_libtiff","U95_TEST","1","13dcc3e05182902e6c3cb38409ba922d71d6e7236edecf1a0d94efaaa6631d25","c4027cd22558b5d2bf671ed93ebba0345373e345819f9aa6f3e56e2f57bb8022","cf88ae035f53737f54d9b7322c8bb99dd6422d63a105977c73ffac19c6ae6fbd","cve-2013-1960.c","AU","39","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:39:AU:750"
"TIFF00877","target_libtiff","U95_TEST","1","2360b1525a9966f9db95aac6de11e419f1c67c5fb0ccd43d8d964e022217b63a","c538280156517d713817a8c15aff62fc082e5b7fe677ebf07b83fb5b266d57f4","923d684e426e676807aa540f3d0d55e4e23bd31ad0ad68d3e5614bc818313519","cve-2013-1960.c","AU","44","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:44:AU:753"
"TIFF01220","target_libtiff","U95_TEST","1","319edfc5b4b19df418283543c79f9700022ea40be73f77698f70250898f44f20","2e1d395fe6269ddde5eb7179930093de11dd8169e65b06759801b91842ce1a4c","e88c30e257294c98adbeaff7bb4416e3bec3c4576761f8ae31ebae1d252183f0","cve-2013-1960.c","AE","75","15","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:75:AE:773"
"TIFF01479","target_libtiff","U95_TEST","1","3d160ab54aefd311302ed951beb2e3036a55ec960d688e27f157f98a9103d228","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","PU","18","5","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:18:PU:741"
"TIFF01798","target_libtiff","U95_TEST","1","493906557ea0a84ec9ab417025e492391e3728efc11305bd5e1bffe92fc1b555","35aaedd7ea7c8ee9fc8f0fa49ae9e0050215f37acad7ab75993c9ab478dae9f4","c6bed19c8b4734c21509b2db4ef6a684570e5e44b8f2cdd726edcef5ac47a3e4","cve-2013-1960.c","AU","74","15","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:74:AU:772"
"TIFF02319","target_libtiff","U95_TEST","1","5d5c6eedc15d3dba37eba2a2192b1096caf984f99a515db6e6f9d5fc8c6fd545","09a93749a4216941a0dc417dc0c1b9230250acba580cdb3cc37eec87e7bc859f","f868ca0789cb0ed86b24ef9d3878053f0038ccf0fcce2fdaddc4bdc629f7be5f","cve-2013-1960.c","AE","45","21","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:45:AE:754"
"TIFF02344","target_libtiff","U95_TEST","1","5e7a2f65235c7effe2d8430a28404f0fef4b06f154aef0762a326239fa0f486c","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","82","14","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:82:AU:777"
