"node_index","model_hash","representative_record_id","duplicate_count","resolved_label","conflict","source_files","candidate_families","original_index","filename","candidate_type","candidate_line","candidate_pos","raw_hash","token_hash","token_count","candidate_valid"
"469","11183ee51ccb04b1a287422891f3d2ab09fb043e12b3b6b6bc370d4557ffc5e6","534","4","1","0","1","PU","533","_CVE-2016-2371.c","PU","14","2","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"470","ed67863321d8cfcd278fb7c3c4626dfc69c2a02619f859eee4181fdfe1b85885","535","3","1","0","1","FC,AU","534","_CVE-2016-2371.c","FC:memset","18","5","20fe677da9885ade373ec4d778cda004a64d75bfc69d53c3f54c2264e1eced29","003b07f9032cf0684d1a3d3a6eb4b241968e8f8c7204f90f69254e616efb563f","531","1"
"471","a97ffd93950583cbcaf357a4d8c69acda905589c64d2222b5f0c14abd0d2264e","541","1","1","0","1","AU","540","_CVE-2016-2371.c","AU","36","14","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"472","c5f18e4a0d10233636348daeb262bd61e064b3966ef9d53724521db3d5e11344","542","1","1","0","1","PU","541","_CVE-2016-2371.c","PU","37","15","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"473","96fa5f686e4f3539d58e7bd030391f8d13befbe148e47d70893aa0f0cff37b75","543","1","1","0","1","PU","542","_CVE-2016-2371.c","PU","39","16","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"474","e1a7a72fce37bc4343866dd30f6699d28bcb464a766471cafdb9253145da5ae4","544","1","1","0","1","PU","543","_CVE-2016-2371.c","PU","41","17","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"475","481d7b342deb9b23b4e110b46ef0ecec31d972df3250b47ad634112756a971d9","545","1","1","0","1","AE","544","_CVE-2016-2371.c","AE","43","18","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"476","98ac5d930878a10d521786925ce7f25fda2506e33ae7d50797802fb91231eadb","546","1","1","0","1","PU","545","_CVE-2016-2371.c","PU","47","20","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"477","9c221bd5bb550647db1a806b232770da4ddf93245e2324aa75c76dc185919e47","547","1","1","0","1","AU","546","_CVE-2016-2371.c","AU","53","23","4f48646d50785fbe8d9ac90eef3cb312aee37a76857d991664b614e8d835a6e6","2db9fcf5d7bb2c19901aae0b674aba4ad1586b2d3b4a52c1ee806e4d9fb02fdd","493","1"
"478","3539adfdace026eae084706934079c8e33bd8011a183fa918cfef5517ff11cd0","548","1","1","0","1","AU","547","_CVE-2016-2371.c","AU","55","21","3f15cfa5dab0b450f40b500a4c11912b114056f59d9cd47ecc48098931073b4f","e776e1b3d5f5b02003456bf604819f956aefd1e8ed0f54a0bd100ec2f0baf3d2","392","1"
"479","6267a309409852dddc5ba312404eb3a8ada83ec4746ee3e6f6d414ce1b29d372","549","1","1","0","1","PU","548","_CVE-2016-2371.c","PU","56","21","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"480","d84300e6cc5cdc6af72f594c111de60eb7461baf0e7ec7f8fde678bd0f5c747c","550","2","1","0","1","AU","549","_CVE-2016-2371.c","AU","61","22","de17bf607e71e7307af1c3925290f41b8edd2b0f16fffcff2d0db45953f649fe","8919707e6fd9d25d197afd2ce16954423b977b4281f10615260a714bd889a431","392","1"
"481","5b0b33a474024bf2b93db1b3a37d94d7ef6ea1b6828ca0295a6a3ac5931b6066","551","2","1","0","1","AU","550","_CVE-2016-2371.c","AU","64","30","4f48646d50785fbe8d9ac90eef3cb312aee37a76857d991664b614e8d835a6e6","2db9fcf5d7bb2c19901aae0b674aba4ad1586b2d3b4a52c1ee806e4d9fb02fdd","493","1"
"482","01c695df6b9f6ec5f9174c06e9e4aa538bd97270ff57a1eeaf21ceb3f2f36606","554","1","1","0","1","PU","553","_CVE-2016-2371.c","PU","79","23","4a35937d89a22ecde7b051b7ba846d0423f095ce532cccfd940498da113a1a72","d81f50e043da6d1202865646d44f02781b3eb9d4c11c027e2860595d4fddc9c3","388","1"
"483","aee27e9c45c6a7dc99d3293c4f1e699de8dcbb0bd7278f02bf00e01656c6741a","555","2","1","0","1","AE,FC","554","_CVE-2016-2371.c","AE","82","40","20fe677da9885ade373ec4d778cda004a64d75bfc69d53c3f54c2264e1eced29","003b07f9032cf0684d1a3d3a6eb4b241968e8f8c7204f90f69254e616efb563f","531","1"
"484","3babc8f5c22ddc2e7183561a786d2a80b39f4289c14a50990dd9c8c4a37c71bb","556","1","1","0","1","PU","555","_CVE-2016-2371.c","PU","86","25","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"485","0f2f93c04c4c47985d37fc527dedb452417943b2d4b693552a8c535e9512f1d9","557","1","1","0","1","PU","556","_CVE-2016-2371.c","PU","87","26","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
"486","9cc586d829fb629cf4d3dc3cb7fcb7402e0e25a6e381b9d1495037ad56e6bb6f","558","1","1","0","1","AU","557","_CVE-2016-2371.c","AU","90","27","8cf300929e72145c6a257c5c14156567bbefda5c4acc1feac2d68fc52d921077","0fba2df4dd97cdc1d336fad26cf1cbf443faf63cbe90565b4f9634c3ccebf163","394","1"
"487","176324217f3c64c92296d3347c0a7b606dfbd9d7a34a5e60638cca3af6755456","560","7","1","0","1","PU,AU","559","_CVE-2016-2371.c","PU","98","29","fdd03c453b43bdd6f20de5f1ad066f1d994c33886c49fad592198eb5c6cc571e","7a3e729a4242c96fbf2b1f09969368a813b112ff1e69e0b2050042c704ed7414","383","1"
